START,END,PROG,DURATION,FINISHED,RECORDED,ID,QSCORE,DOB,RESIDENT,ZIPCODE,RACE,ETHNICITY,GENDER,INCOME,EDUCATION,DEGREE,TWS,COURSE,COURSETIME,SELFTITLE,BIOTIME,ACTIVITY,ACTIVITYfill,othACTIVITY,AFFILIATE,AFFILIATEfill,othAFFILIATE,CONTACT,FIELD,COLLECT,HANDLE,STATE,PPE,PPETIME,COUNTIES,LICENSE,PIGS,BRUCE,CWD,FLUAL,FLU,COVID,COVIDSPILL,RABIESAL,RABIES,TURKEY,CWDAL,BATS,PPEREQ,EHD,DARWIN,POPRED,POPPLAN,SURVEY,VACCINE,PREVAL,DIVERSE,CONSEQ,CLIMATE,EDREQ,INFO,HANDSON,ACCESS,SOURCE,SOURCEfill,othSOURCE,INTEREST,FREEINFO,FREEINFOfill,othFREEINFO,TOPICS,TOPICSfill,othTOPICS,QSNCS
5/16/2024 20:38,5/16/2024 20:50,100,735,True,5/16/2024 20:50,R_20Z5wSS1zdB0p5N,0.699999988,1985,Yes,35115,White,No,Male,"$80,001-90,000",Some College/AA or AS (2-year degree),No,No,No,,No,<1 year,Other,Other,,Other,Other,,Daily,80,No,No,,Yes,Always (100%),"Bibb,Shelby",Yes,True,False,True,True,False,True,True,True,Bites,Incinerate,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Strongly Agree,Agree,No,"Academic Publications,Conferences","Academic Publications,Conferences",,Yes,One day in-person conference,One day in-person conference,,Other,Other,,
5/15/2024 11:43,5/15/2024 11:53,100,653,True,5/15/2024 11:53,R_23XTi9NdVIoRDnX,0.899999976,1972,Yes,36879,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Education,Education,,Academic/Research Institution,Academic/Research Institution,,Rarely,0,No,No,,Yes,Always (100%),"Dallas,Wilcox",Yes,True,False,False,True,False,True,True,True,Bites,Place in a dumpster,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Yes,State Wildlife Agency,State Wildlife Agency,,Yes,One day in-person conference,One day in-person conference,,"Rabies,Leptospirosis,Raccoon roundworm,Vector borne diseases","Rabies,Leptospirosis,Raccoon roundworm,Vector borne diseases",,
5/16/2024 7:42,5/16/2024 7:44,100,109,True,5/16/2024 7:44,R_25LsR9yYzzdhavL,1,2000,Yes,36830,White,No,Female,"$20,001-30,000",High school graduate/GED,Yes,Yes,Yes,5-10 years,Yes,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Academic/Research Institution,Academic/Research Institution,,Daily,30,No,Yes,Alive - Not Sedated,No,,Autauga,No,True,I don't know,False,I don't know,I don't know,True,True,I don't know,Blood,Bury,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,No,State Wildlife Agency,State Wildlife Agency,,Unsure,One day virtual conference,One day virtual conference,,Leptospirosis,Leptospirosis,,
5/15/2024 14:47,5/15/2024 14:53,100,333,True,5/15/2024 14:53,R_2GCjdqVqJNFOoJr,0.899999976,1998,Yes,35565,White,No,Male,"$50,001-60,000",College Graduate/BA or BS (4-year degree),No,No,Yes,<5 years,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Daily,70,No,No,,,,"Franklin,Lawrence,Marion,Walker,Winston",Yes,True,I don't know,False,True,False,True,I don't know,I don't know,Bites,Place in a dumpster,Disagree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Yes,Academic Publications,Academic Publications,,No,One day virtual conference,One day virtual conference,,CWD,CWD,,
5/16/2024 9:32,5/29/2024 16:37,100,1148659,True,5/29/2024 16:37,R_2k6dOCZXYiJc6Ci,0.899999976,1987,Yes,36701,White,No,Male,"$60,001-70,000",Graduate or Professional School,Yes,No,Yes,5-10 years,No,5-10 years,Other,Land/Wildlife Management,Veterinary Medicine,Private Industry,Private Industry,,Monthly,0,No,No,,Yes,Usually (>75%),Dallas,Yes,True,False,False,True,False,True,True,True,Bites,Bury,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Neutral,Yes,"State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences",,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,SarsCoV2,One Health",,
5/15/2024 10:33,5/15/2024 10:54,100,1255,True,5/15/2024 10:54,R_2mxBbIVl41Evegu,1,1999,Yes,36832,White,No,Male,"$0-20,000",Graduate or Professional School,Yes,No,No,,Yes,1-5 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Daily,50,Yes,Yes,Alive - Not Sedated,Yes,Usually (>75%),Russell,Yes,True,False,False,I don't know,False,True,True,True,Bites,Incinerate,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,No,"Academic Publications,Conferences","Academic Publications,Conferences",,Yes,One day in-person conference,One day in-person conference,,"Vector borne diseases,CWD,SarsCoV2,One Health","Vector borne diseases,CWD,SarsCoV2,One Health",,
5/15/2024 22:22,5/15/2024 22:31,100,554,True,5/15/2024 22:31,R_2pY7OU46Jg2FSRm,1,1976,Yes,36092,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,No,5-10 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Monthly,50,Yes,Yes,Dead,Yes,Always (100%),"Autauga,Butler,Elmore,Fayette,Lauderdale,Montgomery",Yes,True,I don't know,False,True,False,I don't know,I don't know,True,Bites,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,No,"State Wildlife Agency,Social Media,News Sources,Conferences","State Wildlife Agency,Social Media,News Sources,Conferences",,Unsure,One day virtual conference,One day virtual conference,,"Rabies,CWD","Rabies,CWD",,
5/16/2024 9:01,5/16/2024 9:08,100,405,True,5/16/2024 9:08,R_2qgF0GjwNPxahkF,0.899999976,1991,Yes,35475,White,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Rarely,20,No,No,,,,"Greene,Hale,Marengo,Tuscaloosa",Yes,I don't know,I don't know,False,I don't know,False,I don't know,I don't know,True,Bites,I don't know,Neutral,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Neutral,No,I have not looked for health information,I have not looked for health information,,Yes,Year-long once a month virtual conference,Year-long once a month virtual conference,,"Rabies,Influenza,CWD","Rabies,Influenza,CWD",,
5/15/2024 21:40,5/15/2024 21:50,100,591,True,5/15/2024 21:50,R_2r7q83LSdX6JMc1,0.899999976,1984,Yes,35555,White,No,Male,"$90,001-100,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,>10 years,Yes,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Weekly,90,No,No,,Yes,Usually (>75%),"Bibb,Colbert,Cullman,Fayette,Franklin,Greene,Jefferson,Lamar,Lawrence,Limestone,Marion,Pickens,Shelby,Sumter,Tuscaloosa,Walker,Winston",Yes,True,False,False,True,False,True,True,True,Bites,Bury,Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Academic Publications,Academic Publications,,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2",,
5/15/2024 13:17,5/15/2024 13:26,100,513,True,5/15/2024 13:26,R_2tsAJ8Pc8CX4IGV,0.899999976,1959,Yes,35475,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,Yes,No,,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Monthly,40,Yes,No,,Yes,Usually (>75%),"Dallas,Greene,Hale,Marengo,Perry,Pickens,Tuscaloosa",No,True,I don't know,False,True,False,I don't know,I don't know,I don't know,Bites,Bury,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Yes,"Academic Publications,Conferences","Academic Publications,Conferences",,Yes,"One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference",,"CWD,Other","CWD,Other",LPDV in wild turkeys,
5/15/2024 11:04,5/15/2024 11:11,100,412,True,5/15/2024 11:11,R_2wiz7QrGcVirdmI,0.699999988,1972,Yes,36804,Asian,No,Male,"$80,001-90,000",Graduate or Professional School,Yes,No,Yes,>10 years,Yes,10-20 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Rarely,20,Yes,Yes,Alive - Not Sedated,Yes,Always (100%),Lee,No,True,False,False,I don't know,False,True,True,True,Bites,Place in a dumpster,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Yes,"State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications",,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
5/28/2024 10:43,5/28/2024 11:08,100,1544,True,5/28/2024 11:08,R_302jCNSWwGXmxFe,0.899999976,1967,Yes,35616,White,No,Male,"$70,001-80,000",High school graduate/GED,No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Monthly,80,Yes,No,,Yes,Always (100%),"Colbert,Franklin,Lauderdale",Yes,True,False,False,True,False,True,True,True,Bites,Incinerate,Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Yes,"State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences",,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,CWD","Rabies,Influenza,CWD",,I have no further questions or concerns.
5/29/2024 10:46,5/29/2024 11:07,100,1259,True,5/29/2024 11:07,R_30iTTbme947Y9K2,0.899999976,1980,Yes,36567,White,No,Male,"$90,001-100,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Weekly,50,No,No,,Yes,Usually (>75%),"Baldwin,Clarke,Escambia,Mobile,Monroe,Washington",Yes,True,False,True,True,False,I don't know,I don't know,I don't know,Blood,Incinerate,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Disagree,No,"State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences",,Yes,"One day in-person conference,Year-long once a month virtual conference","One day in-person conference,Year-long once a month virtual conference",,Other,All,All,
5/23/2024 14:20,5/23/2024 14:45,100,1514,True,5/23/2024 14:45,R_31CzPCk55kiGSYh,0.5,1961,Yes,36545,White,No,Male,"$90,001-100,000",Graduate or Professional School,Yes,Yes,Yes,>10 years,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Rarely,50,No,No,,Yes,Always (100%),"Choctaw,Clarke,Monroe,Washington",Yes,True,False,False,True,False,True,True,True,Bites,Bury,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Yes,"State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences",,Yes,One day in-person conference,One day in-person conference,,"Vector borne diseases,Other","Vector borne diseases,Other",,The question regarding the fresh turkey did not offer sufficient information to make an informed decision.
5/28/2024 20:20,5/28/2024 20:25,100,270,True,5/28/2024 20:25,R_31r5JaaGXbNDlZL,,2001,Yes,36830,White,No,Female,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,No,,No,1-5 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Daily,10,No,Yes,Alive - Not Sedated,Yes,Usually (>75%),Lee,No,True,I don't know,True,True,False,I don't know,I don't know,I don't know,Bites,I don't know,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,No,State Wildlife Agency,State Wildlife Agency,,Yes,"One day virtual conference, Other","One day virtual conference, asynchronous",Async course,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health,Other","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health, All",Any other present diseases,
5/23/2024 8:10,5/23/2024 8:18,100,511,True,5/23/2024 8:18,R_3erYhs68RZRtqxb,1,1974,Yes,35768,White,No,Male,"$100,001+",Graduate or Professional School,Yes,Yes,Yes,>10 years,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Weekly,30,Yes,Yes,Dead,Yes,Always (100%),"Blount,Colbert,Cullman,DeKalb,Fayette,Franklin,Jackson,Lamar,Lauderdale,Lawrence,Limestone,Madison,Marion,Marshall,Walker,Winston",Yes,True,False,False,True,False,True,True,True,Bites,Bury,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Yes,Academic Publications,Academic Publications,,Yes,One day virtual conference,One day virtual conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2",,
5/21/2024 11:14,5/21/2024 11:37,100,1352,True,5/21/2024 11:37,R_3KeVF91KL8u159I,0.899999976,1997,Yes,35907,White,No,Male,"$0-20,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,1-5 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Weekly,80,Yes,Yes,Dead,Yes,Always (100%),"Blount,Calhoun,Cherokee,Cleburne,DeKalb",Yes,True,False,False,True,False,I don't know,I don't know,True,Bites,Place in a dumpster,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Yes,"State Wildlife Agency,I have not looked for health information","State Wildlife Agency,I have not looked for health information",,Yes,Year-long once a month virtual conference,Year-long once a month virtual conference,,"Rabies,Influenza,CWD","Rabies,Influenza,CWD",,
5/21/2024 9:52,5/21/2024 10:04,100,677,True,5/21/2024 10:04,R_3lAXApxAqxDaYBA,0.899999976,1999,Yes,36832,White,No,Female,"$0-20,000",College Graduate/BA or BS (4-year degree),Yes,Yes,No,,Yes,<1 year,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Rarely,40,No,No,,Yes,Always (100%),"Jackson,Lawrence,Lee,Limestone,Morgan",Yes,True,I don't know,False,True,False,True,False,True,Bites,Incinerate,Neutral,Agree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,"State Wildlife Agency,Academic Publications,Social Media,News Sources","State Wildlife Agency,Academic Publications,Social Media,News Sources",,Yes,"One day virtual conference, Other","One day virtual conference, asynchronous",A virtual and self paced program with checkpoints and resources such as videos and printouts or PDFs,"Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,One Health,Other","Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD,One Health, All",Avian botulism and any diseases that can be spread through water,
7/30/2024 18:12,7/30/2024 18:20,100,488,True,7/30/2024 18:20,R_3M4ZS861ivg6v7G,1,1966,Yes,36312,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,Yes,No,,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,Other,State/Provincial Government,Retired State of Alabama,Monthly,70,Yes,Yes,Dead,No,,"Barbour,Bullock,Coffee,Covington,Geneva,Henry,Houston,Lee,Macon,Montgomery,Pike,Russell",No,True,False,False,True,False,True,I don't know,True,Bites,Incinerate,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Disagree,Disagree,Yes,Other,Other,SCWDS,Yes,Year-long once a month virtual conference,Year-long once a month virtual conference,,"Influenza,Leptospirosis,Vector borne diseases,CWD","Influenza,Leptospirosis,Vector borne diseases,CWD",,
5/20/2024 18:22,5/20/2024 18:33,100,645,True,5/20/2024 18:33,R_3msJFzB0Ajssny6,0.899999976,1969,Yes,35463,White,No,Male,"$40,001-50,000",College Graduate/BA or BS (4-year degree),Yes,Yes,No,,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Monthly,80,Yes,No,,No,,Tuscaloosa,Yes,True,I don't know,I don't know,True,False,I don't know,I don't know,True,Bites,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Yes,"Friends/Family,State Wildlife Agency,Academic Publications,Social Media,News Sources,Conferences","Friends/Family,State Wildlife Agency,Academic Publications,Social Media,News Sources,Conferences",,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
5/31/2024 16:37,5/31/2024 16:47,100,634,True,5/31/2024 16:47,R_3NLfQynAGxl06eA,0.899999976,1993,Yes,35096,White,No,Male,"$50,001-60,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,1-5 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Monthly,60,Yes,Yes,Dead,Yes,Always (100%),"Calhoun,Chambers,Cherokee,Clay,Cleburne,Coosa,DeKalb,Etowah,Jackson,Marshall,Randolph,Saint Clair,Talladega,Tallapoosa",Yes,True,True,False,True,False,True,I don't know,True,Bites,Bury,Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Yes,"State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications",,Yes,Year-long once a month virtual conference,Year-long once a month virtual conference,,"Rabies,Influenza,Raccoon roundworm,Vector borne diseases","Rabies,Influenza,Raccoon roundworm,Vector borne diseases",,
5/15/2024 10:48,5/15/2024 11:14,100,1550,True,5/15/2024 11:14,R_3OepAOjEO0mxspj,0.699999988,1981,Yes,36832,White,No,Female,"$100,001+",Graduate or Professional School,No,No,No,,Yes,5-10 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Never,0,No,No,,,,,No,I don't know,False,False,True,False,True,True,False,Bites,I don't know,Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,Yes,Academic Publications,Academic Publications,,Yes,One day virtual conference,One day virtual conference,,"SarsCoV2,One Health","SarsCoV2,One Health",,
5/21/2024 7:13,5/21/2024 7:35,100,1271,True,5/21/2024 7:35,R_3OSVrRZ8iwEe1mS,1,1975,Yes,36420,White,No,Male,"$70,001-80,000",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Education,Education,,Private Industry,Private Industry,,Daily,50,Yes,Yes,Alive - Not Sedated,Yes,Usually (>75%),"Covington,Escambia,Hale,Jefferson,Tuscaloosa",Yes,True,False,False,True,False,True,True,True,Bites,Place in a dumpster,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,No,"State Wildlife Agency,Academic Publications,Social Media,News Sources,Conferences","State Wildlife Agency,Academic Publications,Social Media,News Sources,Conferences",,Yes,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","One day in-person conference,One day virtual conference,Year-long once a month virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,One Health,Other","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,One Health,Other",Diseases that affect wild turkeys,
5/29/2024 12:21,5/29/2024 12:32,100,689,True,5/29/2024 12:32,R_3SDqXbhQK9ZApoZ,0.899999976,1987,Yes,36022,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,10-20 years,Administration,Administration,,State/Provincial Government,State/Provincial Government,,Monthly,10,Yes,Yes,Alive - Not Sedated,No,,"Autauga,Barbour,Dallas,Elmore,Escambia,Greene,Hale,Jackson,Lowndes,Marengo,Montgomery",Yes,True,False,False,True,False,True,I don't know,False,Bites,Bury,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Yes,"State Wildlife Agency,Academic Publications,News Sources,Conferences","State Wildlife Agency,Academic Publications,News Sources,Conferences",,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
6/3/2024 0:05,6/3/2024 0:42,100,2194,True,6/3/2024 0:42,R_3URdG2MZB4r82Ep,1,2001,Yes,36830,White,No,Female,"$90,001-100,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,No,<1 year,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Weekly,90,Yes,Yes,Alive - Sedated,Yes,Usually (>75%),"Lee,Mobile",No,True,True,False,True,False,True,I don't know,True,Bites,I don't know,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,No,"State Wildlife Agency,Social Media,News Sources","State Wildlife Agency,Social Media,News Sources",,Yes,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","One day in-person conference,One day virtual conference,Year-long once a month virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
5/20/2024 9:01,5/20/2024 9:20,100,1168,True,5/20/2024 9:20,R_3yI1cPqaZ0UMtfH,1,1978,Yes,36732,White,No,Male,"$100,001+",Graduate or Professional School,Yes,Yes,Yes,>10 years,Yes,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Rarely,50,No,No,,Yes,Always (100%),"Dallas,Greene,Marengo,Wilcox",Yes,True,False,False,True,False,True,True,True,Bites,Bury,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Yes,News Sources,News Sources,,Yes,One day virtual conference,One day virtual conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
5/16/2024 6:30,5/16/2024 6:44,100,849,True,5/16/2024 6:44,R_3YtEcbqy7vf3JS1,0.899999976,1963,Yes,35811,White,No,Male,"$90,001-100,000",High school graduate/GED,No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Daily,40,No,No,,,,Jackson,Yes,True,True,False,I don't know,I don't know,I don't know,I don't know,True,Feces,Ignore,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"Social Media,News Sources","Social Media,News Sources",,Yes,Other,asynchronous,Send info by email,"Rabies,One Health","Rabies,One Health",,Over all the health of animals is important.  Providing supplements and info of what to do and not to do to the public is very important. 
5/16/2024 12:01,5/16/2024 12:09,100,482,True,5/16/2024 12:09,R_3z5OikvnS39nRG9,1,1999,Yes,36830,White,No,Female,"$100,001+",Graduate or Professional School,Yes,No,Yes,<5 years,Yes,<1 year,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Monthly,50,Yes,Yes,Dead,Yes,Usually (>75%),"Lee,Mobile",Yes,True,False,False,True,False,True,True,True,Bites,I don't know,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Yes,"State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences",,Yes,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","One day in-person conference,One day virtual conference,Year-long once a month virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
5/20/2024 16:29,5/20/2024 17:33,100,3850,True,5/20/2024 17:33,R_3zi3nGdTwrt5CFP,1,1991,Yes,35404,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,Yes,>10 years,No,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Weekly,20,No,No,,,,"Bibb,Chilton,Fayette,Greene,Hale,Jefferson,Marengo,Perry,Pickens,Shelby,Sumter,Tuscaloosa,Walker",Yes,True,False,False,False,False,True,I don't know,True,Bites,Field dress and consumption,Disagree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Yes,"State Wildlife Agency,Social Media","State Wildlife Agency,Social Media",,Yes,"One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference",,"Rabies,Influenza,CWD,SarsCoV2","Rabies,Influenza,CWD,SarsCoV2",,
